,id,name,address,location,typecode,type
0,B000A10FBB,北京饭店,东长安街33号,"116.409385,39.908798",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
1,B000A880ZL,鑫丰润饭店,龙河西路农村商业银行西侧约130米,"116.401768,39.631012",50100,餐饮服务;中餐厅;中餐厅
2,B000A8Y9V8,老马串拉面,马昌营镇管庄路口南路西底商楼11号,"117.022417,40.140559",50121,餐饮服务;中餐厅;清真菜馆
3,B000AAF9AD,万珍楼饭店,西潞南大街甲12号(海逸半岛东门),"116.135668,39.726953",050101|050117,餐饮服务;中餐厅;综合酒楼|餐饮服务;中餐厅;火锅店
4,B000A863L0,明慧茶院,温泉镇北安河大觉寺内,"116.106599,40.052550",50600,餐饮服务;茶艺馆;茶艺馆
5,B000A88E6T,香山会议中心,香山北辛村28号,"116.200036,39.996054",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
6,B000A8790M,刚仔豆捞坊,旧宫镇庑殿路旺兴湖公园南侧30号大院1层(近碧海公园),"116.441191,39.814804",50117,餐饮服务;中餐厅;火锅店
7,B0FFFFDMNP,共享田园,良善庄村良善庄客运站西100米,"116.502420,40.251353",50100,餐饮服务;中餐厅;中餐厅
8,B000A87KZY,紫云轩茶事,崔各庄乡何各庄村318号,"116.492098,40.045437",50600,餐饮服务;茶艺馆;茶艺馆
9,B000A7BQP0,新大宗饭店,麦子店街58号,"116.468147,39.945977",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
10,B0FFGDJJ14,新华联丽景温泉酒店,李遂镇宣庄户中街111号,"116.759789,40.123416",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
11,B000A84YQ0,春晖园温泉度假酒店,高泗路于庄段37号,"116.490402,40.130686",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
12,B000A7J2KW,阳坊大都饭店,阳坊镇,"116.139169,40.137581",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
13,B000A7H56A,长富宫饭店,建国门外大街26号,"116.437456,39.907558",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
14,B000A7CQYB,北京中国大饭店,建国门外大街1号,"116.459081,39.909968",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
15,B000A7CPFC,好苑建国酒店,建国门内大街17号,"116.423341,39.909503",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
16,B000A7BLUQ,北京贵宾楼饭店,东长安街35号,"116.407243,39.908888",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
17,B000A7BEIK,天伦王朝酒店,王府井大街50号,"116.411827,39.91808",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
18,B000A1A4D2,首都宾馆,前门东大街3号,"116.409384,39.901871",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
19,B000A874NA,北京景明园宾馆,香山正白旗52号,"116.214162,40.000915",100103|050000,住宿服务;宾馆酒店;四星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
20,B000A7BRUO,昆仑饭店,新源南路2号,"116.459941,39.948334",100102|050000,住宿服务;宾馆酒店;五星级宾馆|餐饮服务;餐饮相关场所;餐饮相关
21,B0FFG7G99I,万寿宾馆,万寿路甲12号,"116.293279,39.911944",100100|050000,住宿服务;宾馆酒店;宾馆酒店|餐饮服务;餐饮相关场所;餐饮相关
22,B0FFFCO6V4,忆水留年咖啡西餐厅(忆水留年西餐厅),九渡河村加油站北侧(九渡河中石化加油站),"116.366854,40.367227",50500,餐饮服务;咖啡厅;咖啡厅
23,B0FFFADJGL,柳沟豆腐宴64号院,柳沟村1区64号(柳沟民俗旅游度假区),"116.101341,40.444371",050100|120000,餐饮服务;中餐厅;中餐厅|商务住宅;商务住宅相关;商务住宅相关
